frekvencia;teljesitmeny;csatorna;adohely;cim;id
89,9;0,001;Itt mi vagyunk! Rádió Mi ;Szeged ;;52
89,9;0,001;Pont Rádió ;Mezőtúr ;;53
89,9;0,003;Rádió Weekend ;Tótkomlós ;;54
89,9;0,001;Rádió Smile ;Kiskunfélegyháza ;;55
90;0,5;Friss Rádió ;Debrecen ;;56
90;0,07;  ;Várpalota ;;57
90,2;8,3;Neo FM ;Nagykanizsa;Újudvar, Tukora ;58
90,2;3;MR1-Kossuth Rádió ;Telkibánya;Nagy-hegy ;59
90,2;0,1;Rádió 1 Orosháza ;Orosháza ;;60
90,3;3;MR2-Petőfi Rádió ;Sárszentlőrinc;Úzd ;61
90,3;0,6;Neo FM ;Szeged ;;62
90,3;0,4;Tilos Rádió ;Budapest;Változó ;63
90,3;0,1;Rádió Plusz ;Berettyóújfalu ;;64
90,4;0,1;Európa Rádió ;Miskolc;Pereces ;65
90,4;0,2;Európa Rádió Záhony ;Záhony ;;66
90,4;0,2;Rádió 2000 ;Szolnok ;;67
90,4;0,1;Gondola Rádió ;Velence;Meleg-hegy ;68
90,5;0,8;Kék Duna Rádió;Komárom ;;69
